CustomerId,Date,Score
14915134,2013-05,654
15581890,2019-12,652
15713825,2014-08,670
15952819,2013-12,798
15869470,2012-08,620
14583111,2013-04,649
15981064,2019-06,632
15549573,2014-03,516
14652785,2013-08,772
15934984,2011-09,503
15956927,2013-04,896
15788758,2013-11,704
14746757,2014-01,616
15767145,2013-09,757
15639818,2012-10,583
15213939,2012-04,700
15727270,2014-05,538
14920098,2013-08,467
15315354,2019-12,609
14558916,2015-01,636
15376721,2014-09,639
15960786,2012-04,630
14873582,2018-07,609
15575270,2013-03,750
15145958,2015-05,628
14830636,2019-05,759
14848778,2018-05,794
15427368,2015-02,749
14788746,2013-05,750
14915281,2019-06,686
15561614,2015-01,804
15171146,2018-06,689
15724464,2014-01,712
14583111,2013-11,779
15577889,2019-02,637
15213939,2012-08,645
15219000,2018-04,643
14838954,2014-07,724
15570369,2018-07,828
15564891,2013-06,698
14992125,2018-06,606
15724878,2018-07,513
15030625,2020-02,745
14867646,2014-08,582
15032837,2012-10,694
14674848,2012-02,631
15560508,2020-01,727
14972553,2014-06,589
14944149,2013-10,665
14861004,2013-07,737
14904332,2014-03,663
14547901,2014-02,602
15374457,2013-10,646
15629938,2013-03,606
15852298,2012-06,687
15449869,2018-05,634
15520003,2012-10,664
14737981,2013-08,779
14950294,2012-03,642
15316345,2013-08,515
14770300,2012-09,573
14548478,2014-02,802
15487641,2014-11,646
15768406,2012-05,534
15785981,2018-06,663
14690779,2019-04,539
15915928,2018-12,771
14753679,2014-03,660
15121811,2013-10,605
15783288,2019-08,716
15511727,2019-02,580
15378502,2013-11,688
14620217,2012-12,687
14510828,2013-12,620
15940384,2019-03,797
14891082,2013-09,690
15737099,2017-07,619
15982728,2018-07,562
14790387,2019-11,872
15059875,2012-08,759
14553652,2018-03,637
14553652,2018-01,621
15282387,2012-05,638
14816116,2014-06,617
15843652,2011-10,657
15175709,2013-04,771
14904332,2013-10,641
14672547,2014-12,512
14527314,2018-08,693
14861335,2012-04,638
14753679,2014-06,648
15515023,2019-09,693
15070762,2013-04,655
15788758,2013-08,648
14798364,2013-01,545
14765889,2018-12,729
15160116,2013-08,865
15000937,2020-05,726
15736392,2013-12,680
14608011,2013-07,521
15673940,2013-12,642
15502853,2018-03,700
15282387,2012-04,635
15799731,2014-11,716
15428513,2013-10,568
14539718,2014-01,806
15792551,2015-04,799
15594624,2013-06,808
15388494,2013-07,355
15941606,2012-11,626
15234272,2013-12,675
15119035,2015-02,914
15458938,2012-08,694
15421483,2019-04,697
15849020,2013-03,726
15622490,2015-01,630
15717965,2013-11,666
15766745,2014-05,419
14772229,2013-12,595
15660590,2013-11,809
15325968,2015-02,582
15643367,2012-07,671
15181541,2018-05,546
14999265,2011-12,502
15124848,2013-10,478
15023210,2011-12,569
15369790,2014-09,744
15335867,2019-01,927
14717825,2013-01,746
15007816,2013-02,739
14544486,2012-05,865
15980344,2012-10,584
15584139,2012-04,875
15726411,2013-03,637
14861580,2019-09,685
15617192,2018-05,661
15359021,2012-03,527
15781338,2012-01,555
14861580,2019-12,838
14511861,2017-11,584
15250574,2013-03,608
14879139,2013-07,577
15655050,2013-10,559
15274983,2012-07,614
14676161,2018-04,796
15833166,2013-06,500
15575270,2013-07,675
15457258,2018-05,597
14719176,2018-03,754
15887439,2011-12,466
15468072,2013-05,626
15198754,2018-02,785
15377008,2014-06,799
15925581,2019-04,836
15912173,2014-09,608
14732065,2013-11,702
15176322,2012-12,896
15875233,2018-07,616
15570369,2019-02,645
14583397,2014-09,605
14950294,2011-09,494
14915281,2020-02,589
15511180,2014-08,635
15668911,2013-06,678
14928402,2013-09,487
15643367,2012-04,513
15823905,2014-09,572
14861335,2013-03,737
15854941,2017-10,698
14761828,2013-10,648
15477809,2013-08,518
15007886,2018-05,657
15763262,2017-12,401
15069293,2019-06,642
15602588,2014-06,710
15393834,2018-05,692
15232024,2012-04,845
14578472,2012-08,560
15336307,2019-10,614
14557400,2018-05,694
14662594,2019-07,610
15790164,2019-01,633
15552682,2018-02,693
14606397,2014-04,600
15336903,2013-04,761
15734772,2015-03,746
14775821,2013-03,757
15719726,2012-10,457
15906269,2017-09,821
15916500,2018-09,500
15146549,2014-07,693
14944995,2012-09,659
15096110,2018-08,578
15860892,2019-06,651
15372345,2012-11,789
14793467,2012-08,567
14671781,2012-01,465
15760196,2013-10,556
15283550,2013-10,598
15518261,2013-06,630
15671867,2019-04,720
14950294,2012-07,553
15143390,2011-11,609
14751664,2013-10,696
14829262,2014-02,642
15518261,2013-11,740
15394080,2014-02,609
14992125,2018-01,760
15928264,2019-03,665
14977813,2018-12,566
14798536,2014-07,539
15060975,2013-06,653
14703191,2011-12,539
15968100,2018-12,592
15670378,2018-07,737
15603970,2013-07,352
15289666,2019-08,804
14552161,2015-01,668
14725636,2014-07,595
14678908,2019-03,645
15598807,2013-11,790
14673315,2013-03,513
14744344,2014-08,840
15371234,2014-02,793
14631438,2012-11,893
15668911,2013-09,696
15885904,2014-05,617
14806779,2013-10,547
14507049,2012-08,513
15542313,2019-06,587
15345770,2018-01,698
14824245,2012-12,504
15365300,2019-02,556
15261844,2013-03,627
15388494,2013-02,601
15577889,2019-05,644
15236977,2018-07,658
15805666,2019-01,693
15557552,2014-02,607
14673315,2014-01,497
14981681,2012-06,721
15702332,2013-07,675
14790387,2020-04,645
15362757,2014-01,499
15063673,2018-11,624
15638124,2018-06,624
15169011,2012-10,667
14557400,2018-06,668
15568989,2013-07,643
14928576,2018-01,597
15356461,2014-01,613
14726840,2012-01,661
15851171,2011-12,448
14821518,2014-02,703
15206451,2012-09,689
15854941,2017-09,680
14773503,2018-05,469
15971467,2018-09,574
15762952,2013-11,814
15041126,2014-08,728
15915928,2018-11,583
14552843,2019-09,732
15326082,2011-09,657
15919590,2018-09,602
15056044,2018-07,592
14703191,2011-11,428
14972553,2014-05,544
15165134,2018-10,836
15228566,2013-03,585
14903907,2013-01,616
14500857,2013-01,689
14857778,2017-06,783
15408248,2012-08,756
14676886,2019-01,604
15575270,2014-01,660
15007816,2013-11,568
15832181,2019-03,667
15764170,2016-08,691
15405272,2020-03,595
15567950,2013-07,795
14997357,2011-09,709
15486561,2019-11,521
14578472,2012-12,725
15422644,2013-08,678
14913185,2013-11,693
14562879,2012-12,615
14843638,2018-01,690
14968854,2019-08,585
15792380,2013-02,560
15114070,2018-11,734
14510828,2013-11,550
15063673,2018-10,489
15960749,2013-04,667
15519222,2013-07,734
15736392,2013-06,636
15665439,2013-08,642
15905403,2013-08,574
15148621,2013-09,489
15883728,2012-03,691
15376721,2013-12,613
15971467,2019-08,823
15854867,2019-01,716
15408248,2012-11,604
15236977,2019-04,552
14802746,2011-11,549
14899374,2014-10,752
15745584,2018-09,701
15960493,2014-04,785
15221205,2014-03,662
14648573,2018-12,557
15565507,2013-10,661
14535310,2020-02,665
15237415,2019-05,537
15561150,2012-07,581
15603970,2013-08,906
15915928,2019-01,576
15428513,2013-05,466
14907071,2019-06,616
15246748,2018-11,436
15228580,2018-05,714
15516635,2013-08,482
15461780,2013-11,606
15477809,2014-03,626
15378464,2013-10,656
15748627,2014-05,812
15980411,2014-11,537
14535310,2020-03,711
15000648,2019-11,624
14927962,2012-08,674
14873582,2017-07,754
15289666,2019-09,682
14779978,2018-12,594
14873630,2019-09,640
14923525,2013-10,629
14759632,2014-11,722
14887793,2013-06,671
15736392,2013-08,615
14964845,2017-06,565
14891082,2013-06,757
15170502,2017-12,488
14873582,2018-06,737
15326082,2012-06,818
14944149,2013-08,646
15723969,2018-12,583
15939803,2019-04,716
15285847,2012-12,490
15982728,2017-10,691
15390001,2019-03,714
14845498,2019-07,626
14583397,2014-07,742
15824791,2018-08,595
15790371,2014-12,671
15696619,2013-06,767
15728128,2018-06,537
15408248,2012-09,610
14727353,2013-01,464
14981681,2012-05,794
15232024,2012-06,560
15253312,2015-01,593
15665439,2013-05,730
15486747,2019-08,546
15945946,2013-08,689
15839129,2020-01,639
14848778,2018-03,1000
14606397,2014-08,943
15579636,2020-04,595
15172776,2019-02,616
14788923,2017-09,555
14507234,2014-09,616
15325976,2019-09,787
14640969,2012-09,640
15033099,2014-04,542
15338801,2013-10,690
15455155,2019-05,621
14915115,2015-05,624
15057984,2018-11,541
15366289,2018-03,685
15474823,2012-02,494
14648573,2019-12,697
14967523,2014-08,709
15736184,2013-08,710
15376513,2014-03,638
15763262,2018-09,502
15726596,2014-03,557
15148043,2015-01,598
14546392,2017-12,577
14901375,2013-01,606
15237387,2018-12,648
15372345,2012-07,605
14523468,2018-03,628
15330047,2011-12,602
15215571,2013-10,645
15091287,2014-01,737
14672547,2014-11,696
14920852,2014-05,777
15386832,2014-05,533
15728128,2018-09,662
15636076,2018-07,724
15515377,2014-05,572
15775485,2015-02,634
15724878,2019-05,835
15277436,2018-07,672
14928576,2018-06,654
15014099,2018-03,616
15879175,2013-08,625
15502853,2018-04,627
15266659,2019-09,657
15807021,2012-02,697
15610711,2016-09,738
15619594,2014-06,574
15473351,2013-09,523
15971467,2019-02,752
14920153,2018-04,677
14720638,2012-12,724
14532611,2012-12,684
15818457,2019-02,564
15418854,2018-06,711
15556601,2013-03,490
14925881,2012-12,817
15074298,2013-03,721
15552682,2017-11,697
15527190,2013-07,805
15172776,2018-11,567
15529860,2014-05,558
14861333,2019-10,771
15338801,2014-01,577
15736152,2012-05,767
15198754,2018-04,626
15952193,2012-06,792
15643367,2012-08,635
14706011,2019-08,662
14961173,2013-10,744
15945946,2013-10,410
15326913,2019-01,471
14804128,2018-01,508
15452120,2019-05,670
15833166,2013-04,600
14532611,2013-05,664
15736385,2014-05,782
15062940,2018-12,699
14836085,2013-05,654
15012296,2014-01,541
15752092,2012-09,611
15418854,2017-12,571
15406990,2013-05,708
15693962,2013-10,579
15991180,2017-10,594
15577889,2018-09,736
15600639,2014-01,665
15765794,2012-03,413
15012296,2014-02,717
15204192,2014-01,771
14964845,2017-11,675
14706011,2020-02,610
15131336,2012-09,678
15724464,2014-04,554
15622390,2013-05,677
14861333,2019-05,627
15279524,2014-02,663
15923951,2020-02,544
15845135,2012-02,786
15170502,2018-01,724
15431704,2012-10,755
15884792,2017-09,505
15285207,2019-06,697
15638124,2018-02,823
15737371,2019-12,829
15330047,2011-11,724
15064896,2013-08,618
15594720,2018-02,690
14792424,2017-10,658
15032837,2012-12,587
15550902,2012-11,634
14712348,2019-01,690
15371234,2015-01,627
14761828,2014-01,658
15325976,2018-10,736
15673378,2013-03,571
15124848,2014-03,734
15126672,2012-04,752
15243924,2015-01,529
14854442,2019-02,632
14878135,2018-06,715
15778635,2018-07,504
15277049,2018-06,625
14566804,2013-05,650
15206451,2012-07,585
15556051,2020-02,633
14686760,2011-10,451
15145958,2015-06,558
15166500,2019-02,680
14921129,2019-04,607
15056044,2017-09,647
15094098,2013-06,695
14844655,2018-11,665
14856464,2014-01,598
15000937,2019-09,497
15000937,2020-01,563
14721232,2013-01,623
14905869,2017-12,585
14533272,2013-07,897
15498139,2018-03,605
14700474,2017-11,782
15392860,2012-05,635
15737099,2018-01,498
15584882,2017-11,751
15378502,2014-03,659
15486747,2019-06,499
15285207,2018-09,635
15221205,2013-10,717
14546392,2018-08,579
