idProduct; City; Customer_type; Gender; Product_line; DateSale; Payment
30;Yangon;Normal;Male;Health and beauty;15/03/2019;Cash
31;Mandalay;Normal;Male;Fashion accessories;25/02/2019;Credit card
32;Mandalay;Member;Male;Sports and travel;28/01/2019;Cash
33;Mandalay;Normal;Male;Sports and travel;10/01/2019;Cash
34;Yangon;Normal;Male;Health and beauty;15/03/2019;Credit card
35;Naypyitaw;Member;Female;Food and beverages;06/02/2019;Ewallet
36;Naypyitaw;Member;Female;Sports and travel;07/01/2019;Ewallet
37;Yangon;Member;Male;Sports and travel;10/03/2019;Ewallet
38;Yangon;Normal;Female;Electronic accessories;15/01/2019;Ewallet
39;Naypyitaw;Normal;Female;Health and beauty;23/03/2019;Ewallet
40;Mandalay;Member;Male;Home and lifestyle;03/03/2019;Cash
41;Mandalay;Member;Female;Home and lifestyle;17/01/2019;Ewallet
42;Naypyitaw;Member;Male;Home and lifestyle;02/02/2019;Cash
43;Mandalay;Member;Female;Sports and travel;08/02/2019;Cash
44;Naypyitaw;Member;Female;Food and beverages;04/03/2019;Cash
45;Naypyitaw;Member;Male;Health and beauty;16/03/2019;Cash
46;Mandalay;Member;Female;Electronic accessories;09/03/2019;Cash
47;Mandalay;Member;Male;Health and beauty;27/02/2019;Credit card
48;Mandalay;Member;Female;Food and beverages;06/02/2019;Ewallet
49;Mandalay;Member;Male;Electronic accessories;10/02/2019;Credit card
50;Naypyitaw;Member;Female;Fashion accessories;19/03/2019;Ewallet
51;Naypyitaw;Member;Male;Food and beverages;03/02/2019;Cash
52;Yangon;Member;Female;Food and beverages;10/02/2019;Cash
53;Mandalay;Member;Female;Fashion accessories;22/03/2019;Ewallet
54;Naypyitaw;Member;Male;Fashion accessories;25/01/2019;Credit card
55;Mandalay;Normal;Male;Home and lifestyle;07/03/2019;Ewallet
56;Naypyitaw;Normal;Female;Electronic accessories;28/02/2019;Cash
57;Yangon;Member;Male;Home and lifestyle;27/03/2019;Cash
58;Yangon;Normal;Male;Health and beauty;07/02/2019;Ewallet
59;Yangon;Member;Female;Home and lifestyle;20/01/2019;Cash
60;Naypyitaw;Normal;Male;Electronic accessories;12/03/2019;Cash
61;Naypyitaw;Member;Female;Sports and travel;15/02/2019;Credit card
62;Naypyitaw;Normal;Male;Home and lifestyle;24/02/2019;Ewallet
63;Mandalay;Member;Female;Sports and travel;03/02/2019;Ewallet
64;Yangon;Member;Male;Sports and travel;06/03/2019;Credit card
65;Mandalay;Member;Male;Health and beauty;14/02/2019;Cash
66;Yangon;Member;Male;Health and beauty;13/03/2019;Cash
67;Naypyitaw;Normal;Female;Health and beauty;10/02/2019;Ewallet
68;Mandalay;Member;Female;Fashion accessories;07/01/2019;Ewallet
69;Yangon;Normal;Male;Sports and travel;24/01/2019;Cash
70;Yangon;Member;Female;Health and beauty;02/02/2019;Cash
71;Naypyitaw;Normal;Male;Food and beverages;06/01/2019;Credit card
72;Naypyitaw;Normal;Male;Fashion accessories;11/02/2019;Cash
73;Mandalay;Member;Female;Food and beverages;05/03/2019;Ewallet
74;Naypyitaw;Normal;Female;Electronic accessories;09/03/2019;Cash
75;Yangon;Normal;Male;Home and lifestyle;22/01/2019;Ewallet
76;Naypyitaw;Normal;Female;Electronic accessories;13/01/2019;Credit card
77;Naypyitaw;Member;Male;Fashion accessories;09/01/2019;Credit card
78;Yangon;Member;Female;Fashion accessories;12/01/2019;Credit card
79;Naypyitaw;Member;Female;Food and beverages;05/03/2019;Ewallet
80;Naypyitaw;Normal;Female;Health and beauty;22/01/2019;Cash
81;Naypyitaw;Normal;Female;Health and beauty;21/01/2019;Credit card
82;Mandalay;Normal;Female;Food and beverages;26/01/2019;Ewallet
83;Naypyitaw;Normal;Male;Food and beverages;23/01/2019;Ewallet
84;Naypyitaw;Member;Female;Food and beverages;23/02/2019;Credit card
85;Naypyitaw;Member;Male;Sports and travel;09/03/2019;Cash
86;Naypyitaw;Normal;Female;Sports and travel;05/03/2019;Ewallet
87;Naypyitaw;Normal;Male;Fashion accessories;25/03/2019;Cash
88;Yangon;Member;Male;Food and beverages;27/03/2019;Credit card
89;Yangon;Normal;Male;Sports and travel;02/01/2019;Cash
90;Mandalay;Normal;Female;Health and beauty;27/02/2019;Cash
91;Naypyitaw;Member;Female;Home and lifestyle;23/01/2019;Cash
92;Naypyitaw;Normal;Female;Sports and travel;26/01/2019;Ewallet
93;Yangon;Member;Female;Sports and travel;10/01/2019;Ewallet
94;Mandalay;Member;Male;Health and beauty;12/03/2019;Credit card
95;Naypyitaw;Normal;Male;Health and beauty;06/02/2019;Credit card
96;Yangon;Normal;Male;Electronic accessories;08/03/2019;Ewallet
97;Mandalay;Normal;Male;Health and beauty;29/03/2019;Ewallet
98;Naypyitaw;Normal;Female;Electronic accessories;09/02/2019;Cash
99;Yangon;Normal;Male;Food and beverages;23/03/2019;Ewallet
100;Mandalay;Normal;Male;Home and lifestyle;05/03/2019;Cash
101;Naypyitaw;Member;Male;Fashion accessories;26/03/2019;Cash
102;Naypyitaw;Normal;Male;Fashion accessories;01/03/2019;Cash
103;Naypyitaw;Normal;Female;Electronic accessories;01/02/2019;Cash
104;Yangon;Normal;Male;Food and beverages;28/03/2019;Cash
105;Mandalay;Normal;Male;Health and beauty;19/03/2019;Cash
106;Yangon;Member;Male;Electronic accessories;12/01/2019;Ewallet
107;Naypyitaw;Normal;Male;Fashion accessories;05/01/2019;Credit card
108;Yangon;Normal;Male;Sports and travel;22/03/2019;Cash
109;Naypyitaw;Normal;Female;Food and beverages;24/03/2019;Cash
110;Naypyitaw;Member;Male;Electronic accessories;03/03/2019;Cash
111;Mandalay;Member;Female;Sports and travel;05/02/2019;Ewallet
112;Naypyitaw;Member;Female;Health and beauty;05/02/2019;Credit card
113;Mandalay;Normal;Female;Fashion accessories;15/02/2019;Cash
114;Yangon;Member;Male;Home and lifestyle;19/01/2019;Ewallet
115;Naypyitaw;Member;Female;Home and lifestyle;01/02/2019;Credit card
116;Naypyitaw;Normal;Female;Fashion accessories;02/03/2019;Credit card
117;Mandalay;Member;Male;Fashion accessories;05/03/2019;Ewallet
118;Mandalay;Member;Male;Fashion accessories;16/01/2019;Ewallet
119;Yangon;Normal;Female;Food and beverages;02/02/2019;Ewallet
120;Mandalay;Normal;Male;Home and lifestyle;20/01/2019;Ewallet
121;Yangon;Normal;Female;Electronic accessories;14/02/2019;Credit card
122;Naypyitaw;Member;Male;Sports and travel;12/01/2019;Credit card
123;Mandalay;Member;Male;Sports and travel;09/03/2019;Credit card
124;Naypyitaw;Member;Male;Home and lifestyle;13/03/2019;Credit card
125;Mandalay;Member;Female;Fashion accessories;09/03/2019;Ewallet
126;Yangon;Normal;Female;Home and lifestyle;10/03/2019;Credit card
127;Yangon;Normal;Female;Sports and travel;27/01/2019;Cash
128;Naypyitaw;Normal;Female;Fashion accessories;08/01/2019;Credit card
129;Naypyitaw;Member;Female;Food and beverages;08/01/2019;Ewallet
130;Mandalay;Normal;Female;Sports and travel;08/02/2019;Ewallet
131;Mandalay;Normal;Female;Fashion accessories;25/01/2019;Cash
132;Yangon;Member;Female;Sports and travel;06/03/2019;Cash
133;Mandalay;Normal;Female;Sports and travel;10/02/2019;Cash
134;Mandalay;Member;Male;Electronic accessories;17/02/2019;Credit card
135;Naypyitaw;Normal;Female;Health and beauty;08/03/2019;Ewallet
136;Naypyitaw;Normal;Male;Fashion accessories;18/02/2019;Cash
137;Yangon;Normal;Female;Electronic accessories;18/01/2019;Credit card
138;Yangon;Member;Female;Home and lifestyle;18/02/2019;Cash
139;Mandalay;Normal;Male;Sports and travel;16/02/2019;Cash
140;Yangon;Normal;Male;Sports and travel;16/03/2019;Ewallet
141;Naypyitaw;Member;Female;Sports and travel;23/01/2019;Credit card
142;Naypyitaw;Member;Male;Health and beauty;25/01/2019;Cash
143;Naypyitaw;Member;Female;Health and beauty;05/02/2019;Cash
144;Naypyitaw;Member;Female;Food and beverages;22/02/2019;Credit card
145;Yangon;Normal;Female;Home and lifestyle;21/01/2019;Ewallet
146;Naypyitaw;Normal;Female;Health and beauty;08/03/2019;Credit card
147;Yangon;Member;Female;Fashion accessories;10/02/2019;Ewallet
148;Naypyitaw;Normal;Male;Health and beauty;19/03/2019;Credit card
149;Mandalay;Member;Male;Home and lifestyle;06/03/2019;Credit card
150;Yangon;Normal;Male;Health and beauty;27/03/2019;Credit card
151;Mandalay;Member;Female;Fashion accessories;23/03/2019;Credit card
152;Naypyitaw;Member;Male;Sports and travel;11/03/2019;Credit card
153;Yangon;Normal;Male;Fashion accessories;29/01/2019;Credit card
154;Naypyitaw;Normal;Female;Food and beverages;07/02/2019;Ewallet
155;Naypyitaw;Normal;Female;Sports and travel;28/01/2019;Cash
156;Yangon;Member;Male;Food and beverages;20/02/2019;Credit card
157;Mandalay;Member;Male;Electronic accessories;04/01/2019;Cash
158;Mandalay;Normal;Male;Home and lifestyle;07/03/2019;Ewallet
159;Mandalay;Member;Male;Health and beauty;30/03/2019;Ewallet
160;Mandalay;Normal;Male;Sports and travel;27/03/2019;Ewallet
161;Naypyitaw;Normal;Female;Food and beverages;19/01/2019;Credit card
162;Yangon;Normal;Male;Sports and travel;25/02/2019;Cash
163;Yangon;Normal;Male;Food and beverages;13/03/2019;Credit card
164;Naypyitaw;Normal;Male;Sports and travel;30/01/2019;Ewallet
165;Mandalay;Normal;Male;Food and beverages;20/02/2019;Credit card
166;Mandalay;Member;Male;Health and beauty;25/02/2019;Ewallet
167;Naypyitaw;Normal;Male;Home and lifestyle;16/01/2019;Cash
168;Yangon;Normal;Male;Fashion accessories;08/02/2019;Credit card
169;Yangon;Normal;Male;Food and beverages;19/01/2019;Cash
170;Yangon;Member;Male;Sports and travel;01/02/2019;Credit card
171;Yangon;Normal;Male;Health and beauty;03/01/2019;Ewallet
172;Mandalay;Member;Male;Food and beverages;26/01/2019;Credit card
173;Naypyitaw;Normal;Male;Electronic accessories;03/03/2019;Cash
174;Mandalay;Member;Male;Electronic accessories;19/01/2019;Credit card
175;Mandalay;Normal;Male;Food and beverages;18/01/2019;Ewallet
176;Yangon;Member;Male;Home and lifestyle;21/03/2019;Ewallet
177;Yangon;Member;Male;Food and beverages;03/03/2019;Credit card
178;Naypyitaw;Normal;Female;Fashion accessories;13/02/2019;Credit card
179;Yangon;Normal;Male;Food and beverages;23/03/2019;Ewallet
180;Naypyitaw;Member;Male;Health and beauty;28/01/2019;Ewallet
181;Naypyitaw;Normal;Male;Fashion accessories;09/02/2019;Cash
182;Naypyitaw;Member;Male;Food and beverages;23/01/2019;Cash
183;Yangon;Member;Male;Sports and travel;23/03/2019;Ewallet
184;Naypyitaw;Normal;Male;Health and beauty;25/01/2019;Ewallet
185;Yangon;Normal;Female;Sports and travel;04/03/2019;Credit card
186;Mandalay;Member;Male;Food and beverages;05/03/2019;Ewallet
187;Mandalay;Member;Female;Home and lifestyle;03/03/2019;Ewallet
188;Mandalay;Member;Male;Home and lifestyle;08/02/2019;Cash
189;Yangon;Normal;Male;Home and lifestyle;10/02/2019;Ewallet
190;Naypyitaw;Normal;Female;Home and lifestyle;28/01/2019;Credit card
191;Mandalay;Normal;Female;Home and lifestyle;11/02/2019;Credit card
192;Mandalay;Normal;Female;Fashion accessories;15/01/2019;Ewallet
193;Naypyitaw;Normal;Female;Food and beverages;16/03/2019;Cash
194;Mandalay;Normal;Male;Home and lifestyle;26/01/2019;Ewallet
195;Yangon;Normal;Male;Electronic accessories;19/03/2019;Credit card
196;Naypyitaw;Member;Female;Fashion accessories;13/01/2019;Cash
197;Naypyitaw;Member;Male;Health and beauty;26/03/2019;Cash
198;Yangon;Normal;Female;Home and lifestyle;23/03/2019;Ewallet
199;Naypyitaw;Normal;Male;Health and beauty;12/03/2019;Credit card
200;Naypyitaw;Member;Female;Food and beverages;17/02/2019;Credit card
201;Naypyitaw;Member;Female;Sports and travel;29/01/2019;Credit card
202;Mandalay;Member;Female;Electronic accessories;15/03/2019;Cash
203;Naypyitaw;Normal;Male;Electronic accessories;14/01/2019;Cash
204;Mandalay;Member;Male;Health and beauty;06/02/2019;Ewallet
205;Mandalay;Member;Male;Home and lifestyle;15/02/2019;Credit card
206;Yangon;Normal;Female;Health and beauty;03/01/2019;Ewallet
207;Naypyitaw;Member;Female;Electronic accessories;04/01/2019;Credit card
208;Naypyitaw;Member;Female;Home and lifestyle;18/03/2019;Ewallet
209;Mandalay;Normal;Female;Fashion accessories;28/03/2019;Ewallet
210;Mandalay;Normal;Female;Electronic accessories;02/03/2019;Credit card
211;Yangon;Normal;Male;Electronic accessories;25/01/2019;Ewallet
212;Naypyitaw;Normal;Female;Food and beverages;16/01/2019;Cash
213;Mandalay;Normal;Male;Home and lifestyle;20/03/2019;Ewallet
214;Mandalay;Normal;Male;Sports and travel;04/01/2019;Credit card
215;Mandalay;Member;Female;Sports and travel;11/03/2019;Cash
216;Yangon;Normal;Male;Home and lifestyle;22/03/2019;Credit card
217;Mandalay;Normal;Female;Sports and travel;24/03/2019;Cash
218;Yangon;Member;Female;Electronic accessories;21/02/2019;Cash
219;Mandalay;Normal;Male;Fashion accessories;12/02/2019;Ewallet
220;Mandalay;Normal;Female;Food and beverages;10/03/2019;Credit card
221;Mandalay;Normal;Male;Electronic accessories;31/01/2019;Ewallet
222;Mandalay;Normal;Male;Food and beverages;06/03/2019;Ewallet
223;Naypyitaw;Normal;Male;Electronic accessories;17/02/2019;Cash
224;Naypyitaw;Member;Female;Fashion accessories;21/02/2019;Cash
225;Yangon;Normal;Male;Food and beverages;20/03/2019;Cash
226;Naypyitaw;Member;Female;Sports and travel;11/01/2019;Credit card
227;Mandalay;Member;Male;Health and beauty;26/01/2019;Ewallet
228;Naypyitaw;Member;Male;Electronic accessories;31/01/2019;Ewallet
229;Mandalay;Member;Female;Electronic accessories;26/02/2019;Cash
230;Yangon;Normal;Female;Home and lifestyle;11/03/2019;Ewallet
231;Mandalay;Normal;Female;Fashion accessories;26/01/2019;Cash
232;Mandalay;Member;Female;Electronic accessories;12/03/2019;Credit card
233;Mandalay;Normal;Female;Health and beauty;11/02/2019;Cash
234;Mandalay;Member;Male;Fashion accessories;21/02/2019;Cash
235;Yangon;Member;Male;Health and beauty;09/03/2019;Ewallet
236;Yangon;Normal;Female;Sports and travel;20/01/2019;Ewallet
237;Naypyitaw;Normal;Male;Health and beauty;28/01/2019;Credit card
238;Naypyitaw;Member;Female;Fashion accessories;05/03/2019;Credit card
239;Mandalay;Member;Female;Electronic accessories;02/03/2019;Cash
240;Yangon;Normal;Male;Fashion accessories;11/01/2019;Ewallet
241;Yangon;Normal;Male;Food and beverages;11/01/2019;Credit card
242;Yangon;Normal;Male;Health and beauty;11/03/2019;Credit card
243;Naypyitaw;Member;Male;Fashion accessories;28/02/2019;Credit card
244;Yangon;Member;Male;Home and lifestyle;05/01/2019;Cash
245;Mandalay;Normal;Male;Home and lifestyle;02/02/2019;Credit card
246;Yangon;Member;Male;Home and lifestyle;01/01/2019;Cash
247;Mandalay;Member;Female;Electronic accessories;09/02/2019;Cash
248;Yangon;Member;Male;Fashion accessories;23/01/2019;Ewallet
249;Yangon;Member;Male;Electronic accessories;07/01/2019;Credit card
250;Mandalay;Normal;Male;Food and beverages;14/01/2019;Credit card
251;Mandalay;Member;Male;Food and beverages;02/02/2019;Ewallet
252;Naypyitaw;Member;Male;Fashion accessories;17/03/2019;Credit card
253;Naypyitaw;Normal;Female;Sports and travel;02/03/2019;Credit card
254;Yangon;Normal;Male;Home and lifestyle;16/03/2019;Cash
255;Yangon;Member;Male;Home and lifestyle;06/01/2019;Cash
256;Mandalay;Member;Male;Fashion accessories;29/01/2019;Cash
257;Yangon;Member;Male;Electronic accessories;31/01/2019;Credit card
258;Yangon;Member;Male;Home and lifestyle;05/02/2019;Ewallet
259;Yangon;Member;Male;Electronic accessories;13/02/2019;Ewallet
260;Naypyitaw;Member;Male;Electronic accessories;07/02/2019;Credit card
261;Yangon;Normal;Female;Electronic accessories;19/03/2019;Ewallet
262;Naypyitaw;Normal;Female;Fashion accessories;07/03/2019;Ewallet
263;Mandalay;Member;Female;Fashion accessories;13/03/2019;Cash
264;Yangon;Member;Female;Sports and travel;09/02/2019;Cash
265;Mandalay;Normal;Male;Sports and travel;26/02/2019;Ewallet
266;Yangon;Member;Female;Sports and travel;12/03/2019;Credit card
267;Naypyitaw;Normal;Male;Home and lifestyle;14/03/2019;Credit card
268;Mandalay;Member;Female;Food and beverages;08/01/2019;Cash
269;Yangon;Member;Male;Home and lifestyle;05/01/2019;Credit card
270;Yangon;Member;Female;Home and lifestyle;04/01/2019;Ewallet
271;Mandalay;Normal;Female;Sports and travel;06/03/2019;Ewallet
272;Naypyitaw;Member;Female;Health and beauty;03/01/2019;Cash
273;Yangon;Member;Female;Home and lifestyle;07/01/2019;Credit card
274;Yangon;Normal;Female;Home and lifestyle;27/01/2019;Cash
275;Mandalay;Normal;Female;Health and beauty;26/02/2019;Ewallet
276;Mandalay;Normal;Male;Fashion accessories;07/01/2019;Cash
277;Naypyitaw;Member;Female;Home and lifestyle;07/01/2019;Cash
278;Naypyitaw;Normal;Female;Fashion accessories;02/02/2019;Ewallet
279;Naypyitaw;Member;Male;Fashion accessories;20/03/2019;Cash
280;Yangon;Member;Male;Sports and travel;20/03/2019;Credit card
281;Yangon;Normal;Female;Home and lifestyle;15/02/2019;Credit card
282;Naypyitaw;Normal;Male;Home and lifestyle;06/03/2019;Credit card
283;Yangon;Normal;Female;Sports and travel;06/01/2019;Cash
284;Yangon;Member;Male;Health and beauty;04/03/2019;Ewallet
285;Yangon;Member;Female;Health and beauty;12/03/2019;Cash
286;Mandalay;Normal;Male;Health and beauty;20/02/2019;Cash
287;Naypyitaw;Member;Male;Home and lifestyle;24/03/2019;Cash
288;Naypyitaw;Normal;Female;Sports and travel;31/01/2019;Cash
289;Mandalay;Normal;Female;Food and beverages;25/01/2019;Credit card
290;Yangon;Member;Female;Home and lifestyle;03/02/2019;Cash
291;Mandalay;Member;Male;Electronic accessories;24/01/2019;Credit card
292;Naypyitaw;Normal;Male;Electronic accessories;14/03/2019;Ewallet
293;Yangon;Member;Female;Electronic accessories;18/02/2019;Cash
294;Yangon;Member;Female;Food and beverages;21/01/2019;Cash
295;Mandalay;Normal;Male;Health and beauty;13/03/2019;Ewallet
296;Naypyitaw;Member;Female;Electronic accessories;03/03/2019;Cash
297;Naypyitaw;Normal;Male;Electronic accessories;29/03/2019;Cash
298;Yangon;Member;Male;Home and lifestyle;10/01/2019;Ewallet
299;Yangon;Member;Male;Home and lifestyle;25/01/2019;Cash
300;Naypyitaw;Member;Female;Home and lifestyle;19/01/2019;Cash
301;Naypyitaw;Normal;Male;Fashion accessories;02/01/2019;Credit card
302;Mandalay;Member;Male;Health and beauty;12/03/2019;Credit card
303;Naypyitaw;Normal;Male;Food and beverages;25/02/2019;Cash
304;Yangon;Normal;Female;Electronic accessories;18/03/2019;Credit card
305;Mandalay;Normal;Female;Electronic accessories;23/02/2019;Cash
306;Yangon;Member;Male;Electronic accessories;26/03/2019;Ewallet
307;Yangon;Normal;Female;Sports and travel;30/03/2019;Cash
308;Yangon;Member;Female;Home and lifestyle;17/02/2019;Cash
309;Yangon;Member;Female;Electronic accessories;21/03/2019;Ewallet
310;Yangon;Normal;Female;Fashion accessories;05/03/2019;Cash
311;Mandalay;Member;Male;Sports and travel;31/01/2019;Cash
312;Naypyitaw;Member;Male;Fashion accessories;05/02/2019;Ewallet
313;Yangon;Member;Female;Food and beverages;01/02/2019;Credit card
314;Yangon;Member;Female;Health and beauty;07/03/2019;Cash
315;Naypyitaw;Member;Female;Electronic accessories;10/02/2019;Cash
316;Naypyitaw;Member;Male;Food and beverages;14/02/2019;Cash
317;Naypyitaw;Member;Female;Food and beverages;09/02/2019;Cash
318;Naypyitaw;Member;Male;Electronic accessories;10/01/2019;Cash
319;Naypyitaw;Member;Female;Health and beauty;11/03/2019;Credit card
320;Naypyitaw;Member;Male;Health and beauty;18/02/2019;Ewallet
321;Naypyitaw;Normal;Female;Food and beverages;26/02/2019;Cash
322;Naypyitaw;Normal;Female;Health and beauty;18/01/2019;Cash
323;Yangon;Normal;Male;Health and beauty;15/02/2019;Ewallet
324;Yangon;Normal;Female;Fashion accessories;08/03/2019;Cash
325;Yangon;Normal;Male;Home and lifestyle;17/01/2019;Credit card
326;Mandalay;Normal;Male;Sports and travel;12/03/2019;Ewallet
327;Yangon;Member;Male;Food and beverages;09/03/2019;Cash
328;Naypyitaw;Member;Male;Food and beverages;12/03/2019;Cash
329;Mandalay;Member;Male;Health and beauty;25/01/2019;Credit card
330;Yangon;Member;Male;Electronic accessories;25/03/2019;Cash
331;Mandalay;Normal;Male;Home and lifestyle;07/02/2019;Cash
332;Yangon;Normal;Male;Food and beverages;17/02/2019;Credit card
333;Yangon;Normal;Male;Fashion accessories;03/02/2019;Cash
334;Yangon;Member;Male;Food and beverages;14/03/2019;Credit card
335;Naypyitaw;Member;Male;Sports and travel;24/03/2019;Ewallet
336;Yangon;Member;Female;Electronic accessories;21/03/2019;Credit card
337;Yangon;Normal;Male;Fashion accessories;19/03/2019;Ewallet
338;Mandalay;Normal;Female;Sports and travel;24/02/2019;Cash
339;Naypyitaw;Normal;Female;Electronic accessories;28/03/2019;Credit card
340;Mandalay;Member;Female;Food and beverages;05/02/2019;Credit card
341;Mandalay;Member;Male;Electronic accessories;10/02/2019;Credit card
342;Mandalay;Member;Female;Health and beauty;05/03/2019;Ewallet
343;Mandalay;Member;Female;Health and beauty;15/02/2019;Cash
344;Naypyitaw;Normal;Female;Food and beverages;30/01/2019;Ewallet
345;Yangon;Normal;Male;Sports and travel;14/02/2019;Cash
346;Yangon;Normal;Female;Fashion accessories;27/02/2019;Ewallet
347;Yangon;Member;Male;Electronic accessories;04/02/2019;Cash
348;Naypyitaw;Member;Female;Home and lifestyle;20/01/2019;Cash
349;Yangon;Normal;Male;Electronic accessories;28/03/2019;Cash
350;Mandalay;Normal;Female;Health and beauty;27/02/2019;Credit card
351;Naypyitaw;Member;Female;Fashion accessories;15/02/2019;Credit card
352;Yangon;Normal;Male;Electronic accessories;26/01/2019;Cash
353;Mandalay;Member;Female;Fashion accessories;14/03/2019;Credit card
354;Mandalay;Member;Male;Home and lifestyle;02/03/2019;Cash
355;Naypyitaw;Normal;Female;Electronic accessories;04/03/2019;Cash
356;Mandalay;Member;Female;Food and beverages;07/01/2019;Credit card
357;Naypyitaw;Normal;Female;Fashion accessories;08/03/2019;Credit card
358;Naypyitaw;Normal;Female;Sports and travel;09/01/2019;Cash
359;Mandalay;Normal;Male;Electronic accessories;01/03/2019;Ewallet
360;Mandalay;Normal;Male;Sports and travel;16/03/2019;Cash
361;Yangon;Member;Male;Food and beverages;17/02/2019;Credit card
362;Naypyitaw;Normal;Female;Food and beverages;27/02/2019;Cash
363;Naypyitaw;Normal;Male;Food and beverages;07/03/2019;Ewallet
364;Yangon;Normal;Male;Home and lifestyle;21/01/2019;Cash
365;Naypyitaw;Normal;Female;Food and beverages;19/02/2019;Cash
366;Naypyitaw;Normal;Female;Fashion accessories;06/01/2019;Cash
367;Naypyitaw;Normal;Female;Electronic accessories;14/03/2019;Cash
368;Yangon;Member;Male;Home and lifestyle;24/03/2019;Cash
369;Naypyitaw;Normal;Female;Sports and travel;27/01/2019;Cash
370;Yangon;Member;Male;Electronic accessories;06/03/2019;Credit card
371;Mandalay;Member;Female;Electronic accessories;02/02/2019;Cash
372;Mandalay;Normal;Female;Fashion accessories;25/01/2019;Credit card
373;Naypyitaw;Normal;Female;Home and lifestyle;14/03/2019;Ewallet
374;Naypyitaw;Normal;Male;Fashion accessories;29/01/2019;Cash
375;Yangon;Normal;Female;Home and lifestyle;03/01/2019;Credit card
376;Yangon;Member;Female;Fashion accessories;14/01/2019;Ewallet
377;Mandalay;Member;Female;Home and lifestyle;05/01/2019;Credit card
378;Naypyitaw;Normal;Male;Sports and travel;22/02/2019;Ewallet
379;Naypyitaw;Member;Male;Fashion accessories;06/02/2019;Ewallet
380;Mandalay;Normal;Female;Electronic accessories;30/01/2019;Credit card
381;Yangon;Member;Male;Sports and travel;11/01/2019;Credit card
382;Naypyitaw;Normal;Female;Electronic accessories;19/03/2019;Cash
383;Mandalay;Normal;Female;Food and beverages;14/01/2019;Cash
384;Naypyitaw;Member;Female;Food and beverages;01/03/2019;Ewallet
385;Yangon;Normal;Female;Food and beverages;06/01/2019;Ewallet
386;Mandalay;Member;Male;Sports and travel;31/01/2019;Cash
387;Naypyitaw;Normal;Male;Food and beverages;11/03/2019;Cash
388;Yangon;Normal;Female;Health and beauty;20/02/2019;Credit card
389;Naypyitaw;Member;Female;Fashion accessories;27/01/2019;Ewallet
390;Mandalay;Normal;Male;Food and beverages;10/03/2019;Credit card
391;Naypyitaw;Member;Female;Fashion accessories;15/02/2019;Cash
392;Mandalay;Normal;Female;Fashion accessories;26/01/2019;Cash
393;Yangon;Member;Male;Electronic accessories;13/02/2019;Ewallet
394;Yangon;Member;Female;Sports and travel;09/03/2019;Credit card
395;Yangon;Normal;Female;Health and beauty;06/03/2019;Ewallet
396;Yangon;Normal;Female;Health and beauty;24/01/2019;Ewallet
397;Yangon;Normal;Female;Food and beverages;13/03/2019;Ewallet
398;Mandalay;Normal;Male;Home and lifestyle;15/03/2019;Cash
399;Mandalay;Member;Female;Health and beauty;05/03/2019;Credit card
400;Mandalay;Member;Male;Electronic accessories;04/03/2019;Cash
401;Naypyitaw;Normal;Female;Food and beverages;25/03/2019;Credit card
402;Naypyitaw;Normal;Male;Home and lifestyle;12/03/2019;Credit card
403;Naypyitaw;Member;Male;Home and lifestyle;04/02/2019;Ewallet
404;Mandalay;Normal;Female;Fashion accessories;22/02/2019;Ewallet
