ID,City,State,LAT_N,LONG_W
96,Raymondville ,MO,70.68239168,148.4444084
867,Beaver Island,MI,81.88447769,164.8760477
977,Odin ,IL,53.48858773,115.7934363
741,Jemison ,AL,62.10307108,25.71260581
436,West Hills,CA,68.43035344,73.09541905
323,Barrigada ,GU,60.60716473,147.5296125
3,Hesperia ,CA,106.0569286,71.11876711
814,Wickliffe ,KY,80.29965735,46.12993489
375,Culdesac ,ID,47.8418268,78.06551236
467,Roselawn ,IN,87.70708169,51.74506986
604,Forest Lakes,AZ,144.8428773,114.2941167
551,San Simeon,CA,37.53287288,28.34167204
706,Little Rock,AR,122.2368191,121.1527177
647,Portland ,AR,83.92116818,44.80555694
25,New Century,KS,135.0165273,79.2737078
250,Hampden ,MA,76.39074308,26.48368838
124,Pine City,MN,119.4617792,129.3654709
547,Sandborn ,IN,55.94680767,93.85315475
701,Seaton ,IL,128.2287955,78.43005628
197,Milledgeville ,IL,90.98811028,113.2748504
613,East China,MI,108.6868178,42.481113
630,Prince Frederick,MD,104.8277251,57.72409824
767,Pomona Park,FL,100.5211913,163.3497491
679,Gretna ,LA,75.26293787,142.5762285
896,Yazoo City,MS,95.00896271,85.22465037
403,Zionsville ,IN,57.79181464,36.493866
519,Rio Oso,CA,29.39052378,105.8220992
482,Jolon ,CA,66.65054378,52.95528769
252,Childs ,MD,92.7594351,104.0155475
600,Shreveport ,LA,136.2310159,38.50207291
14,Forest ,MS,120.283076,50.22883356
260,Sizerock ,KY,116.0212592,112.7471971
65,Buffalo Creek,CO,47.66145958,148.18673
753,Algonac ,MI,118.7398038,80.14671114
174,Onaway ,MI,108.606587,55.75945692
263,Irvington ,IL,96.70474244,68.28719181
253,Winsted ,MN,68.82384939,72.51511422
557,Woodbury ,GA,102.5472386,93.37553932
897,Samantha ,AL,75.2235845,35.94479192
98,Hackleburg ,AL,119.5607105,120.6244819
423,Soldier ,KS,77.30051697,152.6019439
361,Arrowsmith ,IL,28.00318693,109.3395101
409,Columbus ,GA,67.33892289,46.61622653
312,Bentonville ,AR,36.9528472,78.06843628
854,Kirkland ,AZ,86.41004231,57.99523843
160,Grosse Pointe,MI,102.0471602,91.37131122
735,Wilton ,ME,56.57944083,157.1906205
608,Busby ,MT,104.0894472,29.83035109
122,Robertsdale ,AL,97.7213689,85.3747551
93,Dale ,IN,69.59335022,34.41552119
67,Reeds ,MO,30.78888129,42.50211311
906,Hayfork ,CA,35.2971959,116.6698147
34,Mcbrides ,MI,74.05708403,35.68248542
921,Lee Center,IL,95.79113784,77.13059157
401,Tennessee ,IL,55.49838117,155.6455992
536,Henderson ,IA,77.92417249,77.90662876
953,Udall ,KS,112.6844799,59.95863388
370,Palm Desert,CA,106.8122401,145.755601
614,Benedict ,KS,138.4990456,95.71978969
998,Oakfield ,ME,47.65762321,132.2118817
805,Tamms ,IL,59.86766645,75.05164447
235,Haubstadt ,IN,27.98898068,32.08170842
820,Chokio ,MN,81.36073326,134.232113
650,Clancy ,MT,45.82996854,164.378675
791,Scotts Valley,CA,119.9347043,90.95201996
324,Norwood ,MN,144.4891504,34.88529336
442,Elkton ,MD,103.2547878,156.7289171
633,Bertha ,MN,39.94889028,105.3111577
109,Bridgeport ,MI,50.68988119,79.90137859
780,Cherry ,IL,68.29708467,46.70383506
492,Regina ,KY,131.5515912,90.23826291
965,Griffin ,GA,38.74146904,151.7182093
778,Pine Bluff,AR,60.41001687,145.7882763
337,Mascotte ,FL,121.4608708,146.1675503
259,Baldwin ,MD,81.73572165,40.4397386
955,Netawaka ,KS,109.2057274,119.7404946
752,East Irvine,CA,106.2316586,115.2528621
886,Pony ,MT,99.25831292,162.8777336
200,Franklin ,LA,82.24062794,31.77872725
384,Amo ,IN,103.5871398,159.4306474
518,Vulcan ,MO,108.6087788,91.56138944
188,Prairie Du Rocher,IL,75.57692264,70.70579881
161,Alanson ,MI,90.6531996,72.11952297
486,Delta ,LA,136.5385281,49.73086766
406,Carver ,MN,45.89251104,122.069681
940,Paron ,AR,59.13834287,104.3412062
237,Winchester ,ID,38.37033443,80.0549859
465,Jerome ,AZ,121.7110583,34.40610397
591,Baton Rouge,LA,129.8353108,71.75074848
570,Greenview ,CA,80.50000412,57.58800404
429,Lucerne Valley,CA,35.61763429,48.40574601
278,Cromwell ,MN,128.8462234,53.51254061
927,Quinter ,KS,59.58257004,25.36132152
59,Whitewater ,MO,82.71809743,71.42607696
218,Round Pond,ME,127.4428771,124.0040106
291,Clarkdale ,AZ,58.19417297,73.94789938
668,Rockton ,IL,116.1223935,86.83833004
682,Pheba ,MS,90.94560988,127.3003694
775,Eleele ,HI,80.90971236,152.5215045
527,Auburn ,IA,95.48926949,137.0748386
108,North Berwick,ME,70.83371719,27.32004135
190,Oconee ,GA,92.56220722,119.477431
232,Grandville ,MI,38.85256239,70.13776289
405,Susanville ,CA,128.2498724,80.31679475
273,Rosie ,AR,72.75896875,161.9173483
813,Verona ,MO,109.6602903,152.6449499
444,Richland ,GA,105.4709117,113.0379774
899,Fremont ,MI,54.47132153,150.8233711
738,Philipsburg ,MT,95.95531865,72.24442365
215,Kensett ,IA,55.72295385,139.5524526
743,De Tour Village,MI,25.41948948,25.10565434
377,Koleen ,IN,137.5485615,110.5110324
727,Winslow ,IL,113.1328079,38.71450096
363,Reasnor ,IA,41.59710148,162.564183
117,West Grove,IA,127.2347708,99.40721054
420,Frankfort Heights,IL,71.60321313,30.37327497
888,Bono ,AR,133.276314,150.4963257
784,Biggsville ,IL,85.92578701,138.7463469
413,Linthicum Heights,MD,127.5633635,67.72558927
695,Amazonia ,MO,45.78566304,148.2013846
609,Marysville ,MI,85.76134731,132.8724084
471,Cape Girardeau,MO,73.50450967,90.54309441
649,Pengilly ,MN,25.07352606,154.0642918
946,Newton Center,MA,48.40697791,144.8418196
380,Crane Lake,MN,72.91869963,43.21691808
383,Newbury ,MA,128.3982315,85.17470023
44,Kismet ,KS,99.82252766,156.5035829
433,Canton ,ME,98.73035759,105.973446
283,Clipper Mills,CA,113.7157379,56.95349532
474,Grayslake ,IL,61.30374218,33.05923131
233,Pierre Part,LA,52.08546427,90.0586868
990,Bison ,KS,132.2279842,74.89290079
502,Bellevue ,KY,127.4330424,121.7488466
327,Ridgway ,CO,77.43818081,110.2668422
4,South Britain,CT,65.58421931,33.60504379
228,Rydal ,GA,35.68357838,78.82337343
642,Lynnville ,KY,25.40836031,146.4916272
885,Deerfield ,MO,40.213664,35.9386994
539,Montreal ,MO,129.2453575,127.3259318
202,Hope ,MN,140.3641688,43.72901978
593,Aliso Viejo,CA,67.51641885,131.4169084
521,Gowrie ,IA,130.2024387,127.9825354
938,Andersonville ,GA,141.3126586,72.53178686
919,Knob Lick,KY,135.8510619,33.39003391
528,Crouseville ,ME,36.5185121,81.54481624
331,Cranks ,KY,55.60911109,27.28471229
45,Rives Junction,MI,94.19750922,116.8527277
944,Ledyard ,CT,134.5468125,143.8149657
949,Norway ,ME,83.89130493,88.40746773
88,Eros ,LA,95.16264172,58.31349033
878,Rantoul ,KS,31.80492935,118.6160845
35,Richmond Hill,GA,39.39625803,113.5962389
17,Fredericktown ,MO,105.5334784,112.6890911
447,Arkadelphia ,AR,98.62295228,49.57501146
498,Glen Carbon,IL,60.8365036,140.7226054
351,Fredericksburg ,IN,44.51203489,78.05797739
774,Manchester ,IA,129.6682154,123.2967519
116,Mc Henry,MD,93.28771946,112.5615175
963,Eriline ,KY,93.61747947,65.43902104
643,Wellington ,KY,100.4511347,31.68760835
781,Hoffman Estates,IL,129.4025483,53.42126169
364,Howard Lake,MN,125.7573101,78.32807705
777,Edgewater ,MD,130.0676569,72.29080719
15,Ducor ,CA,140.8633607,102.039339
910,Salem ,KY,86.97524724,113.9609797
612,Sturdivant ,MO,93.84076298,86.38850955
537,Hagatna ,GU,97.17321584,151.8086289
970,East Haddam,CT,115.6833374,132.3781409
510,Eastlake ,MI,134.0938535,38.78212913
354,Larkspur ,CA,107.0529696,65.97363083
983,Patriot ,IN,82.63795084,46.08354932
799,Corriganville ,MD,141.383789,153.6500914
581,Carlos ,MN,114.9060173,66.2810487
825,Addison ,MI,96.36953674,142.4105732
526,Tarzana ,CA,135.8603987,81.30731303
176,Grapevine ,AR,92.36589225,84.54293686
994,Kanorado ,KS,65.42078424,85.72249232
704,Climax ,MI,127.3563782,107.0542747
582,Curdsville ,KY,84.78749012,150.4842247
884,Southport ,CT,59.09336238,63.13052144
196,Compton ,IL,106.617993,99.40704162
605,Notasulga ,AL,66.84426322,115.6864036
430,Rumsey ,KY,70.6921152,50.2122756
234,Rogers ,CT,140.4723914,33.18335673
700,Pleasant Grove,AR,135.1358062,145.589833
702,Everton ,MO,119.0469849,51.48512967
662,Skanee ,MI,70.1724149,129.5593113
171,Springerville ,AZ,124.6882036,150.6628287
615,Libertytown ,MD,144.5783185,111.9744225
26,Church Creek,MD,39.43148157,91.25809126
692,Yellow Pine,ID,83.12257286,150.8949096
336,Dumont ,MN,57.0124315,129.3675605
464,Gales Ferry,CT,104.568616,37.4148061
315,Ravenna ,KY,79.15467169,106.252172
505,Williams ,AZ,73.48100913,111.7413889
842,Decatur ,MI,63.31154085,161.4235787
982,Holbrook ,AZ,134.8838521,103.8569792
868,Sherrill ,AR,79.96440727,152.2197289
554,Brownsdale ,MN,52.42646664,50.79836304
199,Linden ,MI,53.41116218,32.62422206
453,Sedgwick ,AR,68.93334418,75.29418595
451,Fort Atki,,,
