idProduct;City;Customer type;Gender;Product line;Date;Payment;Unit price;Quantity;Rating
73;Mandalay;Member;Female;Food and beverages;05/03/2019;Ewallet;48.52;3;4
74;Naypyitaw;Normal;Female;Electronic accessories;09/03/2019;Cash;75.91;6;8.7
75;Yangon;Normal;Male;Home and lifestyle;22/01/2019;Ewallet;74.67;9;9.4
76;Naypyitaw;Normal;Female;Electronic accessories;13/01/2019;Credit card;41.65;10;5.4
77;Naypyitaw;Member;Male;Fashion accessories;09/01/2019;Credit card;49.04;9;8.6
78;Yangon;Member;Female;Fashion accessories;12/01/2019;Credit card;20.01;9;5.7
79;Naypyitaw;Member;Female;Food and beverages;05/03/2019;Ewallet;78.31;10;6.6
80;Naypyitaw;Normal;Female;Health and beauty;22/01/2019;Cash;20.38;5;6
81;Naypyitaw;Normal;Female;Health and beauty;21/01/2019;Credit card;99.19;6;5.5
82;Mandalay;Normal;Female;Food and beverages;26/01/2019;Ewallet;96.68;3;6.4
83;Naypyitaw;Normal;Male;Food and beverages;23/01/2019;Ewallet;19.25;8;6.6
84;Naypyitaw;Member;Female;Food and beverages;23/02/2019;Credit card;80.36;4;8.3
85;Naypyitaw;Member;Male;Sports and travel;09/03/2019;Cash;48.91;5;6.6
86;Naypyitaw;Normal;Female;Sports and travel;05/03/2019;Ewallet;83.06;7;4
87;Naypyitaw;Normal;Male;Fashion accessories;25/03/2019;Cash;76.52;5;9.9
88;Yangon;Member;Male;Food and beverages;27/03/2019;Credit card;49.38;7;7.3
89;Yangon;Normal;Male;Sports and travel;02/01/2019;Cash;42.47;1;5.7
90;Mandalay;Normal;Female;Health and beauty;27/02/2019;Cash;76.99;6;6.1
91;Naypyitaw;Member;Female;Home and lifestyle;23/01/2019;Cash;47.38;4;7.1
92;Naypyitaw;Normal;Female;Sports and travel;26/01/2019;Ewallet;44.86;10;8.2
93;Yangon;Member;Female;Sports and travel;10/01/2019;Ewallet;21.98;7;5.1
94;Mandalay;Member;Male;Health and beauty;12/03/2019;Credit card;64.36;9;8.6
95;Naypyitaw;Normal;Male;Health and beauty;06/02/2019;Credit card;89.75;1;6.6
96;Yangon;Normal;Male;Electronic accessories;08/03/2019;Ewallet;97.16;1;7.2
97;Mandalay;Normal;Male;Health and beauty;29/03/2019;Ewallet;87.87;10;5.1
98;Naypyitaw;Normal;Female;Electronic accessories;09/02/2019;Cash;12.45;6;4.1
99;Yangon;Normal;Male;Food and beverages;23/03/2019;Ewallet;52.75;3;9.3
100;Mandalay;Normal;Male;Home and lifestyle;05/03/2019;Cash;82.7;6;7.4
101;Naypyitaw;Member;Male;Fashion accessories;26/03/2019;Cash;48.71;1;4.1
102;Naypyitaw;Normal;Male;Fashion accessories;01/03/2019;Cash;78.55;9;7.2
103;Naypyitaw;Normal;Female;Electronic accessories;01/02/2019;Cash;23.07;9;4.9
104;Yangon;Normal;Male;Food and beverages;28/03/2019;Cash;58.26;6;9.9
105;Mandalay;Normal;Male;Health and beauty;19/03/2019;Cash;30.35;7;8
106;Yangon;Member;Male;Electronic accessories;12/01/2019;Ewallet;88.67;10;7.3
107;Naypyitaw;Normal;Male;Fashion accessories;05/01/2019;Credit card;27.38;6;7.9
108;Yangon;Normal;Male;Sports and travel;22/03/2019;Cash;62.13;6;7.4
109;Naypyitaw;Normal;Female;Food and beverages;24/03/2019;Cash;33.98;9;4.2
110;Naypyitaw;Member;Male;Electronic accessories;03/03/2019;Cash;81.97;10;9.2
111;Mandalay;Member;Female;Sports and travel;05/02/2019;Ewallet;16.49;2;4.6
112;Naypyitaw;Member;Female;Health and beauty;05/02/2019;Credit card;98.21;3;7.8
113;Mandalay;Normal;Female;Fashion accessories;15/02/2019;Cash;72.84;7;8.4
114;Yangon;Member;Male;Home and lifestyle;19/01/2019;Ewallet;58.07;9;4.3
115;Naypyitaw;Member;Female;Home and lifestyle;01/02/2019;Credit card;80.79;9;9.5
116;Naypyitaw;Normal;Female;Fashion accessories;02/03/2019;Credit card;27.02;3;7.1
117;Mandalay;Member;Male;Fashion accessories;05/03/2019;Ewallet;21.94;5;5.3
118;Mandalay;Member;Male;Fashion accessories;16/01/2019;Ewallet;51.36;1;5.2
119;Yangon;Normal;Female;Food and beverages;02/02/2019;Ewallet;10.96;10;6
120;Mandalay;Normal;Male;Home and lifestyle;20/01/2019;Ewallet;53.44;2;4.1
121;Yangon;Normal;Female;Electronic accessories;14/02/2019;Credit card;99.56;8;5.2
122;Naypyitaw;Member;Male;Sports and travel;12/01/2019;Credit card;57.12;7;6.5
123;Mandalay;Member;Male;Sports and travel;09/03/2019;Credit card;99.96;9;4.2
124;Naypyitaw;Member;Male;Home and lifestyle;13/03/2019;Credit card;63.91;8;4.6
125;Mandalay;Member;Female;Fashion accessories;09/03/2019;Ewallet;56.47;8;7.3
126;Yangon;Normal;Female;Home and lifestyle;10/03/2019;Credit card;93.69;7;4.5
127;Yangon;Normal;Female;Sports and travel;27/01/2019;Cash;32.25;5;9
128;Naypyitaw;Normal;Female;Fashion accessories;08/01/2019;Credit card;31.73;9;5.9
129;Naypyitaw;Member;Female;Food and beverages;08/01/2019;Ewallet;68.54;8;8.5
130;Mandalay;Normal;Female;Sports and travel;08/02/2019;Ewallet;90.28;9;7.2
131;Mandalay;Normal;Female;Fashion accessories;25/01/2019;Cash;39.62;7;7.5
132;Yangon;Member;Female;Sports and travel;06/03/2019;Cash;92.13;6;8.3
133;Mandalay;Normal;Female;Sports and travel;10/02/2019;Cash;34.84;4;7.4
134;Mandalay;Member;Male;Electronic accessories;17/02/2019;Credit card;87.45;6;8.8
135;Naypyitaw;Normal;Female;Health and beauty;08/03/2019;Ewallet;81.3;6;5.3
136;Naypyitaw;Normal;Male;Fashion accessories;18/02/2019;Cash;90.22;3;6.2
137;Yangon;Normal;Female;Electronic accessories;18/01/2019;Credit card;26.31;5;8.8
138;Yangon;Member;Female;Home and lifestyle;18/02/2019;Cash;34.42;6;9.8
139;Mandalay;Normal;Male;Sports and travel;16/02/2019;Cash;51.91;10;8.2
140;Yangon;Normal;Male;Sports and travel;16/03/2019;Ewallet;72.5;8;9.2
141;Naypyitaw;Member;Female;Sports and travel;23/01/2019;Credit card;89.8;10;5.4
142;Naypyitaw;Member;Male;Health and beauty;25/01/2019;Cash;90.5;10;8.1
143;Naypyitaw;Member;Female;Health and beauty;05/02/2019;Cash;68.6;10;9.1
144;Naypyitaw;Member;Female;Food and beverages;22/02/2019;Credit card;30.41;1;8.4
145;Yangon;Normal;Female;Home and lifestyle;21/01/2019;Ewallet;77.95;6;8
146;Naypyitaw;Normal;Female;Health and beauty;08/03/2019;Credit card;46.26;6;9.5
147;Yangon;Member;Female;Fashion accessories;10/02/2019;Ewallet;30.14;10;9.2
148;Naypyitaw;Normal;Male;Health and beauty;19/03/2019;Credit card;66.14;4;5.6
149;Mandalay;Member;Male;Home and lifestyle;06/03/2019;Credit card;71.86;8;6.2
150;Yangon;Normal;Male;Health and beauty;27/03/2019;Credit card;32.46;8;4.9
151;Mandalay;Member;Female;Fashion accessories;23/03/2019;Credit card;91.54;4;4.8
152;Naypyitaw;Member;Male;Sports and travel;11/03/2019;Credit card;34.56;7;7.3
153;Yangon;Normal;Male;Fashion accessories;29/01/2019;Credit card;83.24;9;7.4
154;Naypyitaw;Normal;Female;Food and beverages;07/02/2019;Ewallet;16.48;6;9.9
155;Naypyitaw;Normal;Female;Sports and travel;28/01/2019;Cash;80.97;8;9.3
156;Yangon;Member;Male;Food and beverages;20/02/2019;Credit card;92.29;5;9
157;Mandalay;Member;Male;Electronic accessories;04/01/2019;Cash;72.17;1;6.1
158;Mandalay;Normal;Male;Home and lifestyle;07/03/2019;Ewallet;50.28;5;9.7
159;Mandalay;Member;Male;Health and beauty;30/03/2019;Ewallet;97.22;9;6
160;Mandalay;Normal;Male;Sports and travel;27/03/2019;Ewallet;93.39;6;10
161;Naypyitaw;Normal;Female;Food and beverages;19/01/2019;Credit card;43.18;8;8.3
162;Yangon;Normal;Male;Sports and travel;25/02/2019;Cash;63.69;1;6
163;Yangon;Normal;Male;Food and beverages;13/03/2019;Credit card;45.79;7;7
164;Naypyitaw;Normal;Male;Sports and travel;30/01/2019;Ewallet;76.4;2;6.5
165;Mandalay;Normal;Male;Food and beverages;20/02/2019;Credit card;39.9;10;5.9
166;Mandalay;Member;Male;Health and beauty;25/02/2019;Ewallet;42.57;8;5.6
167;Naypyitaw;Normal;Male;Home and lifestyle;16/01/2019;Cash;95.58;10;4.8
168;Yangon;Normal;Male;Fashion accessories;08/02/2019;Credit card;98.98;10;8.7
169;Yangon;Normal;Male;Food and beverages;19/01/2019;Cash;51.28;6;6.5
170;Yangon;Member;Male;Sports and travel;01/02/2019;Credit card;69.52;7;8.5
171;Yangon;Normal;Male;Health and beauty;03/01/2019;Ewallet;70.01;5;5.5
172;Mandalay;Member;Male;Food and beverages;26/01/2019;Credit card;80.05;5;9.4
173;Naypyitaw;Normal;Male;Electronic accessories;03/03/2019;Cash;20.85;8;6.3
174;Mandalay;Member;Male;Electronic accessories;19/01/2019;Credit card;52.89;6;9.8
175;Mandalay;Normal;Male;Food and beverages;18/01/2019;Ewallet;19.79;8;8.7
176;Yangon;Member;Male;Home and lifestyle;21/03/2019;Ewallet;33.84;9;8.8
177;Yangon;Member;Male;Food and beverages;03/03/2019;Credit card;22.17;8;9.6
178;Naypyitaw;Normal;Female;Fashion accessories;13/02/2019;Credit card;22.51;7;4.8
179;Yangon;Normal;Male;Food and beverages;23/03/2019;Ewallet;73.88;6;4.4
180;Naypyitaw;Member;Male;Health and beauty;28/01/2019;Ewallet;86.8;3;9.9
181;Naypyitaw;Normal;Male;Fashion accessories;09/02/2019;Cash;64.26;7;5.7
182;Naypyitaw;Member;Male;Food and beverages;23/01/2019;Cash;38.47;8;7.7
183;Yangon;Member;Male;Sports and travel;23/03/2019;Ewallet;15.5;10;8
184;Naypyitaw;Normal;Male;Health and beauty;25/01/2019;Ewallet;34.31;8;5.7
185;Yangon;Normal;Female;Sports and travel;04/03/2019;Credit card;12.34;7;6.7
186;Mandalay;Member;Male;Food and beverages;05/03/2019;Ewallet;18.08;3;8
187;Mandalay;Member;Female;Home and lifestyle;03/03/2019;Ewallet;94.49;8;7.5
188;Mandalay;Member;Male;Home and lifestyle;08/02/2019;Cash;46.47;4;7
189;Yangon;Normal;Male;Home and lifestyle;10/02/2019;Ewallet;74.07;1;9.9
190;Naypyitaw;Normal;Female;Home and lifestyle;28/01/2019;Credit card;69.81;4;5.9
191;Mandalay;Normal;Female;Home and lifestyle;11/02/2019;Credit card;77.04;3;7.2
192;Mandalay;Normal;Female;Fashion accessories;15/01/2019;Ewallet;73.52;2;4.6
193;Naypyitaw;Normal;Female;Food and beverages;16/03/2019;Cash;87.8;9;9.2
194;Mandalay;Normal;Male;Home and lifestyle;26/01/2019;Ewallet;25.55;4;5.7
195;Yangon;Normal;Male;Electronic accessories;19/03/2019;Credit card;32.71;5;9.9
196;Naypyitaw;Member;Female;Fashion accessories;13/01/2019;Cash;74.29;1;5
197;Naypyitaw;Member;Male;Health and beauty;26/03/2019;Cash;43.7;2;4.9
198;Yangon;Normal;Female;Home and lifestyle;23/03/2019;Ewallet;25.29;1;6.1
199;Naypyitaw;Normal;Male;Health and beauty;12/03/2019;Credit card;41.5;4;8.2
200;Naypyitaw;Member;Female;Food and beverages;17/02/2019;Credit card;71.39;5;5.5
201;Naypyitaw;Member;Female;Sports and travel;29/01/2019;Credit card;19.15;6;6.8
202;Mandalay;Member;Female;Electronic accessories;15/03/2019;Cash;57.49;4;6.6
203;Naypyitaw;Normal;Male;Electronic accessories;14/01/2019;Cash;61.41;7;9.8
204;Mandalay;Member;Male;Health and beauty;06/02/2019;Ewallet;25.9;10;8.7
205;Mandalay;Member;Male;Home and lifestyle;15/02/2019;Credit card;17.77;5;5.4
206;Yangon;Normal;Female;Health and beauty;03/01/2019;Ewallet;23.03;9;7.9
207;Naypyitaw;Member;Female;Electronic accessories;04/01/2019;Credit card;66.65;9;9.7
208;Naypyitaw;Member;Female;Home and lifestyle;18/03/2019;Ewallet;28.53;10;7.8
209;Mandalay;Normal;Female;Fashion accessories;28/03/2019;Ewallet;30.37;3;5.1
210;Mandalay;Normal;Female;Electronic accessories;02/03/2019;Credit card;99.73;9;6.5
211;Yangon;Normal;Male;Electronic accessories;25/01/2019;Ewallet;26.23;9;5.9
212;Naypyitaw;Normal;Female;Food and beverages;16/01/2019;Cash;93.26;9;8.8
213;Mandalay;Normal;Male;Home and lifestyle;20/03/2019;Ewallet;92.36;5;4.9
214;Mandalay;Normal;Male;Sports and travel;04/01/2019;Credit card;46.42;3;4.4
215;Mandalay;Member;Female;Sports and travel;11/03/2019;Cash;29.61;7;6.5
216;Yangon;Normal;Male;Home and lifestyle;22/03/2019;Credit card;18.28;1;8.3
217;Mandalay;Normal;Female;Sports and travel;24/03/2019;Cash;24.77;5;8.5
218;Yangon;Member;Female;Electronic accessories;21/02/2019;Cash;94.64;3;5.5
219;Mandalay;Normal;Male;Fashion accessories;12/02/2019;Ewallet;94.87;8;8.7
220;Mandalay;Normal;Female;Food and beverages;10/03/2019;Credit card;57.34;3;7.9
221;Mandalay;Normal;Male;Electronic accessories;31/01/2019;Ewallet;45.35;6;6.1
222;Mandalay;Normal;Male;Food and beverages;06/03/2019;Ewallet;62.08;7;5.4
223;Naypyitaw;Normal;Male;Electronic accessories;17/02/2019;Cash;11.81;5;9.4
224;Naypyitaw;Member;Female;Fashion accessories;21/02/2019;Cash;12.54;1;8.2
225;Yangon;Normal;Male;Food and beverages;20/03/2019;Cash;43.25;2;6.2
226;Naypyitaw;Member;Female;Sports and travel;11/01/2019;Credit card;87.16;2;9.7
227;Mandalay;Member;Male;Health and beauty;26/01/2019;Ewallet;69.37;9;4
228;Naypyitaw;Member;Male;Electronic accessories;31/01/2019;Ewallet;37.06;4;9.7
229;Mandalay;Member;Female;Electronic accessories;26/02/2019;Cash;90.7;6;5.3
230;Yangon;Normal;Female;Home and lifestyle;11/03/2019;Ewallet;63.42;8;7.4
231;Mandalay;Normal;Female;Fashion accessories;26/01/2019;Cash;81.37;2;6.5
232;Mandalay;Member;Female;Electronic accessories;12/03/2019;Credit card;10.59;3;8.7
233;Mandalay;Normal;Female;Health and beauty;11/02/2019;Cash;84.09;9;8
234;Mandalay;Member;Male;Fashion accessories;21/02/2019;Cash;73.82;4;6.7
235;Yangon;Member;Male;Health and beauty;09/03/2019;Ewallet;51.94;10;6.5
236;Yangon;Normal;Female;Sports and travel;20/01/2019;Ewallet;93.14;2;4.1
237;Naypyitaw;Normal;Male;Health and beauty;28/01/2019;Credit card;17.41;5;4.9
238;Naypyitaw;Member;Female;Fashion accessories;05/03/2019;Credit card;44.22;5;8.6
239;Mandalay;Member;Female;Electronic accessories;02/03/2019;Cash;13.22;5;4.3
240;Yangon;Normal;Male;Fashion accessories;11/01/2019;Ewallet;89.69;1;4.9
241;Yangon;Normal;Male;Food and beverages;11/01/2019;Credit card;24.94;9;5.6
242;Yangon;Normal;Male;Health and beauty;11/03/2019;Credit card;59.77;2;5.8
243;Naypyitaw;Member;Male;Fashion accessories;28/02/2019;Credit card;93.2;2;6
244;Yangon;Member;Male;Home and lifestyle;05/01/2019;Cash;62.65;4;4.2
245;Mandalay;Normal;Male;Home and lifestyle;02/02/2019;Credit card;93.87;8;8.3
246;Yangon;Member;Male;Home and lifestyle;01/01/2019;Cash;47.59;8;5.7
247;Mandalay;Member;Female;Electronic accessories;09/02/2019;Cash;81.4;3;4.8
248;Yangon;Member;Male;Fashion accessories;23/01/2019;Ewallet;17.94;5;6.8
249;Yangon;Member;Male;Electronic accessories;07/01/2019;Credit card;77.72;4;8.8
250;Mandalay;Normal;Male;Food and beverages;14/01/2019;Credit card;73.06;7;4.2
251;Mandalay;Member;Male;Food and beverages;02/02/2019;Ewallet;46.55;9;6.4
252;Naypyitaw;Member;Male;Fashion accessories;17/03/2019;Credit card;35.19;10;8.4
253;Naypyitaw;Normal;Female;Sports and travel;02/03/2019;Credit card;14.39;2;7.2
254;Yangon;Normal;Male;Home and lifestyle;16/03/2019;Cash;23.75;4;5.2
255;Yangon;Member;Male;Home and lifestyle;06/01/2019;Cash;58.9;8;8.9
256;Mandalay;Member;Male;Fashion accessories;29/01/2019;Cash;32.62;4;9
257;Yangon;Member;Male;Electronic accessories;31/01/2019;Credit card;66.35;1;9.7
258;Yangon;Member;Male;Home and lifestyle;05/02/2019;Ewallet;25.91;6;8.7
259;Yangon;Member;Male;Electronic accessories;13/02/2019;Ewallet;32.25;4;6.5
260;Naypyitaw;Member;Male;Electronic accessories;07/02/2019;Credit card;65.94;4;6.9
261;Yangon;Normal;Female;Electronic accessories;19/03/2019;Ewallet;75.06;9;6.2
262;Naypyitaw;Normal;Female;Fashion accessories;07/03/2019;Ewallet;16.45;4;5.6
263;Mandalay;Member;Female;Fashion accessories;13/03/2019;Cash;38.3;4;5.7
264;Yangon;Member;Female;Sports and travel;09/02/2019;Cash;22.24;10;4.2
265;Mandalay;Normal;Male;Sports and travel;26/02/2019;Ewallet;54.45;1;7.9
266;Yangon;Member;Female;Sports and travel;12/03/2019;Credit card;98.4;7;8.7
267;Naypyitaw;Normal;Male;Home and lifestyle;14/03/2019;Credit card;35.47;4;6.9
268;Mandalay;Member;Female;Food and beverages;08/01/2019;Cash;74.6;10;9.5
269;Yangon;Member;Male;Home and lifestyle;05/01/2019;Credit card;70.74;4;4.4
270;Yangon;Member;Female;Home and lifestyle;04/01/2019;Ewallet;35.54;10;7
271;Mandalay;Normal;Female;Sports and travel;06/03/2019;Ewallet;67.43;5;6.3
272;Naypyitaw;Member;Female;Health and beauty;03/01/2019;Cash;21.12;2;9.7
273;Yangon;Member;Female;Home and lifestyle;07/01/2019;Credit card;21.54;9;8.8
274;Yangon;Normal;Female;Home and lifestyle;27/01/2019;Cash;12.03;2;5.1
275;Mandalay;Normal;Female;Health and beauty;26/02/2019;Ewallet;99.71;6;7.9
276;Mandalay;Normal;Male;Fashion accessories;07/01/2019;Cash;47.97;7;6.2
277;Naypyitaw;Member;Female;Home and lifestyle;07/01/2019;Cash;21.82;10;7.1
278;Naypyitaw;Normal;Female;Fashion accessories;02/02/2019;Ewallet;95.42;4;6.4
279;Naypyitaw;Member;Male;Fashion accessories;20/03/2019;Cash;70.99;10;5.7
280;Yangon;Member;Male;Sports and travel;20/03/2019;Credit card;44.02;10;9.6
281;Yangon;Normal;Female;Home and lifestyle;15/02/2019;Credit card;69.96;8;6.4
282;Naypyitaw;Normal;Male;Home and lifestyle;06/03/2019;Credit card;37;1;7.9
283;Yangon;Normal;Female;Sports and travel;06/01/2019;Cash;15.34;1;6.5
284;Yangon;Member;Male;Health and beauty;04/03/2019;Ewallet;99.83;6;8.5
285;Yangon;Member;Female;Health and beauty;12/03/2019;Cash;47.67;4;9.1
286;Mandalay;Normal;Male;Health and beauty;20/02/2019;Cash;66.68;5;7.6
287;Naypyitaw;Member;Male;Home and lifestyle;24/03/2019;Cash;74.86;1;6.9
288;Naypyitaw;Normal;Female;Sports and travel;31/01/2019;Cash;23.75;9;9.5
289;Mandalay;Normal;Female;Food and beverages;25/01/2019;Credit card;48.51;7;5.2
290;Yangon;Member;Female;Home and lifestyle;03/02/2019;Cash;94.88;7;4.2
291;Mandalay;Member;Male;Electronic accessories;24/01/2019;Credit card;40.3;10;7
292;Naypyitaw;Normal;Male;Electronic accessories;14/03/2019;Ewallet;27.85;7;6
293;Yangon;Member;Female;Electronic accessories;18/02/2019;Cash;62.48;1;4.7
294;Yangon;Member;Female;Food and beverages;21/01/2019;Cash;36.36;2;7.1
295;Mandalay;Normal;Male;Health and beauty;13/03/2019;Ewallet;18.11;10;5.9
296;Naypyitaw;Member;Female;Electronic accessories;03/03/2019;Cash;51.92;5;7.5
297;Naypyitaw;Normal;Male;Electronic accessories;29/03/2019;Cash;28.84;4;6.4
298;Yangon;Member;Male;Home and lifestyle;10/01/2019;Ewallet;78.38;6;5.8
299;Yangon;Member;Male;Home and lifestyle;25/01/2019;Cash;60.01;4;4.5
300;Naypyitaw;Member;Female;Home and lifestyle;19/01/2019;Cash;88.61;1;7.7
301;Naypyitaw;Normal;Male;Fashion accessories;02/01/2019;Credit card;99.82;2;6.7
302;Mandalay;Member;Male;Health and beauty;12/03/2019;Credit card;39.01;1;4.7
303;Naypyitaw;Normal;Male;Food and beverages;25/02/2019;Cash;48.61;1;4.4
304;Yangon;Normal;Female;Electronic accessories;18/03/2019;Credit card;51.19;4;4.7
305;Mandalay;Normal;Female;Electronic accessories;23/02/2019;Cash;14.96;8;8.6
306;Yangon;Member;Male;Electronic accessories;26/03/2019;Ewallet;72.2;7;4.3
307;Yangon;Normal;Female;Sports and travel;30/03/2019;Cash;40.23;7;9.6
308;Yangon;Member;Female;Home and lifestyle;17/02/2019;Cash;88.79;8;4.1
309;Yangon;Member;Female;Electronic accessories;21/03/2019;Ewallet;26.48;3;4.7
310;Yangon;Normal;Female;Fashion accessories;05/03/2019;Cash;81.91;2;7.8
311;Mandalay;Member;Male;Sports and travel;31/01/2019;Cash;79.93;6;5.5
312;Naypyitaw;Member;Male;Fashion accessories;05/02/2019;Ewallet;69.33;2;9.7
313;Yangon;Member;Female;Food and beverages;01/02/2019;Credit card;14.23;5;4.4
314;Yangon;Member;Female;Health and beauty;07/03/2019;Cash;15.55;9;5
